question_id,answer_id,question_text,question_score,pmid,pmtitle
28452,28480,How can Valonia ventricosa cells get so big?,17,15221513,When is a cell not a cell? A theory relating coenocytic structure to the unusual electrophysiology of Ventricaria ventricosa (Valonia ventricosa).
29662,29664,Superhuman eyesight,17,19430325,Visual acuity norms in pre-school children: the Multi-Ethnic Pediatric Eye Disease Study.
29662,29664,Superhuman eyesight,17,3493168,Age related changes in visual acuity.
61059,61060,Why don&#39;t antiseptic agents kill 100% germs?,17,23570005,Antibacterial activity of the essential oils from the leaves of Eucalyptus globulus against Escherichia coli and Staphylococcus aureus.
61059,61060,Why don&#39;t antiseptic agents kill 100% germs?,17,20931074,Antimicrobial and antifungal properties of the essential oil and methanol extracts of Eucalyptus largiflorens and Eucalyptus intertexta.
61059,61060,Why don&#39;t antiseptic agents kill 100% germs?,17,25911964,Antibacterial Activity of Essential Oils and Their Isolated Constituents against Cariogenic Bacteria: A Systematic Review.
388,398,What effect has changing pH and salt concentration on protein complexes?,16,19994836,Can salting-in/salting-out ions be classified as chaotropes/kosmotropes?
388,398,What effect has changing pH and salt concentration on protein complexes?,16,15306378,"Protein structure, stability and solubility in water and other solvents."
388,398,What effect has changing pH and salt concentration on protein complexes?,16,16821951,The Hofmeister series and protein-salt interactions.
388,398,What effect has changing pH and salt concentration on protein complexes?,16,16814736,Effect of salts and organic additives on the solubility of proteins in aqueous solutions.
388,398,What effect has changing pH and salt concentration on protein complexes?,16,17035073,Interactions between macromolecules and ions: The Hofmeister series.
728,743,How is eye color in humans inherited?,16,15262401,Eye colour: portals into pigmentation genes and ancestry.
728,743,How is eye color in humans inherited?,16,19278628,
894,2966,Is Behe&#39;s experiment (evolving the bacterial flagellum) plausible in the lab?,16,18524956,Historical contingency and the evolution of a key innovation in an experimental population of Escherichia coli.
1439,1533,How does the human body metabolize gasoline?,16,3379185,Impairment of organ function after oral ingestion of refined petrol.
2817,2829,How deep in the soil can a seed be placed and still develop into a plant/tree?,16,28308044,Seed size and seedling emergence: an allometric relationship and some ecological implications.
2851,3029,When running gels what is the difference between constant volts or constant amps?,16,5432063,
2851,3029,When running gels what is the difference between constant volts or constant amps?,16,2449095,Tricine-sodium dodecyl sulfate-polyacrylamide gel electrophoresis for the separation of proteins in the range from 1 to 100 kDa.
2935,3406,Why can&#39;t the brain and red blood cells use fuels other than glucose?,16,3654601,Fatty acid oxidation in rat brain is limited by the low activity of 3-ketoacyl-coenzyme A thiolase.
3590,3609,How are long time periods measured in biological systems?,16,16959837,Postnatal development of kisspeptin neurons in mouse hypothalamus; sexual dimorphism and projections to gonadotropin-releasing hormone neurons.
3590,3609,How are long time periods measured in biological systems?,16,15684075,Increased hypothalamic GPR54 signaling: a potential mechanism for initiation of puberty in primates.
3590,3609,How are long time periods measured in biological systems?,16,19299459,Postnatal development of an estradiol-kisspeptin positive feedback mechanism implicated in puberty onset.
14081,19999,"Can humans transdermally absorb minerals from ocean water, and if so how much?",16,24392787,Skin permeabilization for transdermal drug delivery: recent advances and future prospects.
14081,19999,"Can humans transdermally absorb minerals from ocean water, and if so how much?",16,21367787,Adaptations to in situ feeding: novel nutrient acquisition pathways in an ancient vertebrate.
14347,14351,The Origin of Mitochondria,16,17107559,A new alpha-proteobacterial clade of Bdellovibrio-like predators: implications for the mitochondrial endosymbiotic theory.
17940,23861,Why does the oxygen produced in the photosynthesis come from water and not carbon dioxide?,16,16453059,Photosynthesis in the Archean era.
17940,23861,Why does the oxygen produced in the photosynthesis come from water and not carbon dioxide?,16,18468984,When did oxygenic photosynthesis evolve?
17940,23861,Why does the oxygen produced in the photosynthesis come from water and not carbon dioxide?,16,23588925,Leaf-architectured 3D hierarchical artificial photosynthetic system of perovskite titanates towards CO₂ photoreduction into hydrocarbon fuels.
17940,23861,Why does the oxygen produced in the photosynthesis come from water and not carbon dioxide?,16,22487129,"Biological conversion of carbon monoxide to ethanol: effect of pH, gas pressure, reducing agent and yeast extract."
17940,23861,Why does the oxygen produced in the photosynthesis come from water and not carbon dioxide?,16,21978488,"Hydrogen, metals, bifurcating electrons, and proton gradients: the early evolution of biological energy conservation."
17940,23861,Why does the oxygen produced in the photosynthesis come from water and not carbon dioxide?,16,16054814,Hydrogen-driven subsurface lithoautotrophic microbial ecosystems (SLiMEs): do they exist and why should we care?
20912,20913,Is there a biological mechanism for evolution encoded into our DNA?,16,10978293,Estimate of the mutation rate per nucleotide in humans.
27582,27610,Why do we have more male infants born?,16,10530404,The ratio of X- and Y-bearing sperm in ejaculates of men with three or more children of the same sex.
34159,60276,Why is the brain dependent on glucose?,16,24309654,
34159,60284,Why is the brain dependent on glucose?,16,7903674,Dietary amino acids and brain function.
34159,60284,Why is the brain dependent on glucose?,16,3654601,Fatty acid oxidation in rat brain is limited by the low activity of 3-ketoacyl-coenzyme A thiolase.
34159,60284,Why is the brain dependent on glucose?,16,23921897,Why does brain metabolism not favor burning of fatty acids to provide energy? Reflections on disadvantages of the use of free fatty acids as fuel for brain.
35337,35352,Why is human vision restricted to 400-700 nm?,16,8023459,Ultraviolet vision in birds: what is its function?
35337,35352,Why is human vision restricted to 400-700 nm?,16,8023457,Ultraviolet sensitivity of three cone types in the aphakic observer determined by chromatic adaptation.
35337,76066,Why is human vision restricted to 400-700 nm?,16,20733295,The nocturnal bottleneck and the evolution of mammalian vision.
35337,76066,Why is human vision restricted to 400-700 nm?,16,15312027,Ecology and evolution of primate colour vision.
37240,81599,Do birds emit infra-red radiation?,16,28981533,"An improved camera trap for amphibians, reptiles, small mammals, and large invertebrates."
39882,39890,"Are some animals, like dogs and cats, color-blind and how do we know that?",16,20655939,Spectral sensitivity of single cones in rainbow trout (Oncorhynchus mykiss): a whole-cell voltage clamp study.
39882,39890,"Are some animals, like dogs and cats, color-blind and how do we know that?",16,19720656,Evolution of colour vision in mammals.
39882,39895,"Are some animals, like dogs and cats, color-blind and how do we know that?",16,11809506,Color vision perception in the capuchin monkey (Cebus apella): a re-evaluation of procedures using Munsell papers.
41617,41764,Why have parasites not evolved to be harmless?,16,15158604,"Commensal bacteria (normal microflora), mucosal immunity and chronic inflammatory and autoimmune diseases."
41617,45449,Why have parasites not evolved to be harmless?,16,15306410,Virulence in malaria: an evolutionary viewpoint.
44457,44460,Are the bacteria in the stomachs of unborn babies beneficial?,16,25310759,Maternal influences on fetal microbial colonization and immune development.
44457,44460,Are the bacteria in the stomachs of unborn babies beneficial?,16,25394236,The gut microbiome in health and in disease.
52537,52539,Why are there 2 copies of RNA in the HIV virion?,16,19529749,HIV-1 RNA dimerization: It takes two to tango.
58347,58351,Do humans learn to distinguish different senses?,16,19345256,The neural basis of multisensory integration in the midbrain: its organization and maturation.
58347,58351,Do humans learn to distinguish different senses?,16,18695580,Combination of functional magnetic resonance imaging-guided neuronavigation and intraoperative cortical brain mapping improves targeting of motor cortex stimulation in neuropathic pain.
60018,60020,Is prion a term used to describe the normal form of the protein as well as the disease causing form?,16,14756798,PrPc on the road: trafficking of the cellular prion protein.
60018,60024,Is prion a term used to describe the normal form of the protein as well as the disease causing form?,16,19797769,A heritable switch in carbon source utilization driven by an unusual yeast prion.
78422,78426,For how long would a flu-contaminated parcel be an effective disease vector?,16,19773292,Aerosol transmission of influenza A virus: a review of new studies.
78422,78426,For how long would a flu-contaminated parcel be an effective disease vector?,16,16038759,The occurrence of influenza A virus on household and day care center fomites.
78422,78426,For how long would a flu-contaminated parcel be an effective disease vector?,16,6282993,Survival of influenza viruses on environmental surfaces.
89680,89682,Which type of test tube should not be used for blood collection?,16,17484616,The role of ethylenediamine tetraacetic acid (EDTA) as in vitro anticoagulant for diagnostic purposes.
417,1050,What causes REM atonia to be lost in sleepwalking?,15,22205588,Muscle tone regulation during REM sleep: neural circuitry and clinical significance.
417,1050,What causes REM atonia to be lost in sleepwalking?,15,22136899,Does idiopathic REM sleep behavior disorder (iRBD) really exist? What are the potential markers of neurodegeneration in iRBD?
417,1050,What causes REM atonia to be lost in sleepwalking?,15,20550017,"Diffusion tensor imaging in idiopathic REM sleep behavior disorder reveals microstructural changes in the brainstem, substantia nigra, olfactory region, and other brain regions."
417,1050,What causes REM atonia to be lost in sleepwalking?,15,21387382,White and gray matter abnormalities in idiopathic rapid eye movement sleep behavior disorder: a diffusion-tensor imaging and voxel-based morphometry study.
607,657,Intrinsically disordered proteins as potential drug targets,15,18831774,The unfoldomics decade: an update on intrinsically disordered proteins.
607,657,Intrinsically disordered proteins as potential drug targets,15,19022175,Structural rationale for the coupled binding and unfolding of the c-Myc oncoprotein by small molecules.
607,657,Intrinsically disordered proteins as potential drug targets,15,20598937,Intrinsically disordered proteins are potential drug targets.
642,652,Can a color-deficient person be made to visualize the missing colors?,15,19276119,Perceiving electrical stimulation of identified human visual areas.
642,652,Can a color-deficient person be made to visualize the missing colors?,15,16317227,Development of a cortical visual neuroprosthesis for the blind: the relevance of neuroplasticity.
642,3454,Can a color-deficient person be made to visualize the missing colors?,15,7207626,Absence of ocular dominance patches in dark-reared cats.
642,3454,Can a color-deficient person be made to visualize the missing colors?,15,16906137,Highly ordered arrangement of single neurons in orientation pinwheels.
642,3454,Can a color-deficient person be made to visualize the missing colors?,15,3367218,The organization of chromatic and spatial interactions in the primate striate cortex.
700,705,Are there neurons that can sense light shining in your ears?,15,18419310,Circadian photoreception in vertebrates.
700,705,Are there neurons that can sense light shining in your ears?,15,16687306,The avian pineal gland.
700,705,Are there neurons that can sense light shining in your ears?,15,20959623,Intrinsically photosensitive retinal ganglion cells.
1071,1083,Do insects with compound eyes have depth perception?,15,17637358,Polarization vision: how insects find their way by watching the sky.
1228,1248,Can any protein be phosphorylated?,15,19751195,Focus on phosphoarginine and phospholysine.
1452,1455,Does testosterone increase female sexual behavior?,15,10665617,Time course of effects of testosterone administration on sexual arousal in women.
1452,1456,Does testosterone increase female sexual behavior?,15,22392827,Testosterone supplementation for hypoactive sexual desire disorder in women.
1502,1503,Is the appendix a vestigial structure in all vertebrates?,15,9427807,Neonatal appendectomy impairs mucosal immunity in rabbits.
1502,1503,Is the appendix a vestigial structure in all vertebrates?,15,7709830,The appendix functions as a mammalian bursal equivalent in the developing rabbit.
1502,1503,Is the appendix a vestigial structure in all vertebrates?,15,10906392,A morphological and immunohistological study of the human and rabbit appendix for comparison with the avian bursa.
1502,1512,Is the appendix a vestigial structure in all vertebrates?,15,17936308,Biofilms in the large bowel suggest an apparent function of the human vermiform appendix.
1651,1657,Are there differences in DNA between humans of today and humans from 2000 years ago?,15,12858290,"Nuclear and mitochondrial DNA analysis of a 2,000-year-old necropolis in the Egyin Gol Valley of Mongolia."
2240,2388,How does translational coupling work in prokaryotes?,15,16107714,Eukaryotic translational coupling in UAAUG stop-start codons for the bicistronic RNA translation of the non-long terminal repeat retrotransposon SART1.
2324,2467,What is the contribution of viruses to the evolution of mankind?,15,15044706,Long-term reinfection of the human genome by endogenous retroviruses.
2507,2510,"Are there any examples of proteins with no or minimal sequence identity, but highly similar structure?",15,21393655,TRIAL: a tool for finding distant structural similarities.
2507,2510,"Are there any examples of proteins with no or minimal sequence identity, but highly similar structure?",15,16524831,Exploiting protein structure data to explore the evolution of protein function and biological complexity.
2507,2520,"Are there any examples of proteins with no or minimal sequence identity, but highly similar structure?",15,8577692,Inverse protein folding by the residue pair preference profile method: estimating the correctness of alignments of structurally compatible sequences.
2507,3537,"Are there any examples of proteins with no or minimal sequence identity, but highly similar structure?",15,8464512,A structural motif in the variant surface glycoproteins of Trypanosoma brucei.
2507,3537,"Are there any examples of proteins with no or minimal sequence identity, but highly similar structure?",15,2231728,2.9 A resolution structure of the N-terminal domain of a variant surface glycoprotein from Trypanosoma brucei.
2507,3537,"Are there any examples of proteins with no or minimal sequence identity, but highly similar structure?",15,15557330,Structure of the C-terminal domain from Trypanosoma brucei variant surface glycoprotein MITat1.2.
3165,5165,Athletes: nature vs. nurture?,15,22648472,Genetic markers and explosive leg-muscle strength in elite Italian soccer players.
3165,5165,Athletes: nature vs. nurture?,15,22158406,
3393,3396,"Evolutionarily speaking, why do humans have 46 chromosomes",15,1924367,Origin of human chromosome 2: an ancestral telomere-telomere fusion.
3915,4951,Has the human 7-day week had any impact on the evolution of species?,15,9949556,Possible natural circaseptan rhythm in the beach beetle Chaerodes trachyscelides white.
6929,7066,"Fibonacci sequence in nature, truth or just wishful thinking?",15,17368962,Phyllotaxis.
7652,14665,What could cause hairs to gray at the tips but not the roots?,15,15618488,Mechanisms of hair graying: incomplete melanocyte stem cell maintenance in the niche.
7652,14665,What could cause hairs to gray at the tips but not the roots?,15,15820674,Melanocyte stem cell maintenance and hair graying.
7652,14665,What could cause hairs to gray at the tips but not the roots?,15,16723385,"Towards a ""free radical theory of graying"": melanocyte apoptosis in the aging human hair follicle is an indicator of oxidative stress induced tissue damage."
7652,14665,What could cause hairs to gray at the tips but not the roots?,15,21070612,The cell biology of human hair follicle pigmentation.
13926,13935,Why is there more variation in proteins than genes?,15,16942855,"The human basonuclin 2 gene has the potential to generate nearly 90,000 mRNA isoforms encoding over 2000 different proteins."
16749,57437,Why does rabies cause hydrophobia?,15,25165859,Rabies Virus Hijacks and accelerates the p75NTR retrograde axonal transport machinery.
30707,85337,Contact Inhibition of Cell Division: Signaling Pathway,15,30739799,
30707,85337,Contact Inhibition of Cell Division: Signaling Pathway,15,18328423,"The emerging role of the hippo pathway in cell contact inhibition, organ size control, and cancer development in mammals."
30707,85337,Contact Inhibition of Cell Division: Signaling Pathway,15,21730131,E-cadherin mediates contact inhibition of proliferation through Hippo signaling-pathway components.
30707,85337,Contact Inhibition of Cell Division: Signaling Pathway,15,24532814,The Hippo-YAP signaling pathway and contact inhibition of growth.
31055,31917,Why reference genome is a reference?,15,21935354,Phased whole-genome genetic risk in a family quartet using a major allele reference sequence.
34317,34320,What portion of the electromagnetic spectrum do cats see?,15,1455745,Scotopic spectral sensitivity of phakic and aphakic observers extending into the near ultraviolet.
36344,36364,"Are mitochondria transferable between cell types, individuals and species?",15,23574623,Preferential transfer of mitochondria from endothelial to cancer cells through tunneling nanotubes modulates chemoresistance.
36344,36364,"Are mitochondria transferable between cell types, individuals and species?",15,24431222,Miro1 regulates intercellular mitochondrial transport & enhances mesenchymal stem cell rescue efficacy.
36344,36364,"Are mitochondria transferable between cell types, individuals and species?",15,25571977,Transfer of mitochondria via tunneling nanotubes rescues apoptotic PC12 cells.
36344,36364,"Are mitochondria transferable between cell types, individuals and species?",15,27466127,Transfer of mitochondria from astrocytes to neurons after stroke.
36344,36364,"Are mitochondria transferable between cell types, individuals and species?",15,22753025,Transferring isolated mitochondria into tissue culture cells.
45252,45253,Why do Hot/Cold drinks taste sweeter once returning to room temperature?,15,25963040,Temperature Affects Human Sweet Taste via At Least Two Mechanisms.
45252,45253,Why do Hot/Cold drinks taste sweeter once returning to room temperature?,15,17180301,Influence of temperature on taste perception.
57541,57580,Why do mosquitoes hover over our heads?,15,18306972,Identification of human-derived volatile chemicals that interfere with attraction of Aedes aegypti mosquitoes.
57541,57580,Why do mosquitoes hover over our heads?,15,23326620,Common host-derived chemicals increase catches of disease-transmitting mosquitoes and can improve early warning systems for Rift Valley fever virus.
60712,60713,What insect is this? (Central Africa),15,5650903,Studies on the mechanism of action of pederine.
65342,65766,Why does a worm&#39;s skin need to be wet for oxygen to diffuse across it?,15,18834854,Structural and functional properties of hydration and confined water in membrane interfaces.
65342,71799,Why does a worm&#39;s skin need to be wet for oxygen to diffuse across it?,15,27614191,Solubility and diffusion of oxygen in phospholipid membranes.
71364,71368,What is the meaning of multicellularity?,15,23315654,Multicellularity arose several times in the evolution of eukaryotes (response to DOI 10.1002/bies.201100187).
86435,86438,Can UV radiation be safe for the skin?,15,6893247,[Effect of long-wave ultraviolet light (UV-A) and medium-wave ultraviolet rays (UV-B) on human skin. Critical comparison].
86435,86438,Can UV radiation be safe for the skin?,15,30065996,Solar UV damage to cellular DNA: from mechanisms to biological effects.
86435,86438,Can UV radiation be safe for the skin?,15,32254506,
90418,90420,Inability of vultures to digest diclofenac,15,17148382,Toxicity of diclofenac to Gyps vultures.
264,270,Defining paper(s) in epigenetics,14,15485357,Epigenetics and human disease.
264,270,Defining paper(s) in epigenetics,14,16446478,Epigenetics and human disease: translating basic biology into clinical applications.
264,270,Defining paper(s) in epigenetics,14,16117634,
264,275,Defining paper(s) in epigenetics,14,3310230,The inheritance of epigenetic defects.
264,289,Defining paper(s) in epigenetics,14,18767965,Transgenerational epigenetic effects.
287,411,What implications has the missing 2&#39;-OH on the capability of DNA to form 3D structures?,14,10458781,Tertiary Motifs in RNA Structure and Folding.
287,411,What implications has the missing 2&#39;-OH on the capability of DNA to form 3D structures?,14,2338076,The conformation of single-stranded nucleic acids tDNA versus tRNA.
719,744,How do members of cryptic species know who to mate with?,14,17129636,Cryptic species as a window on diversity and conservation.
1045,1414,Is there any reason for the variation in mitochondrial DNA size?,14,15531154,Homing endonuclease genes: the rise and fall and rise again of a selfish element.
1126,1166,Questions to ask to a panel of people that will be sequenced,14,16205790,AVPR1a and SLC6A4 gene polymorphisms are associated with creative dance performance.
1345,1360,What is the mechanism that directs myosin walking?,14,10753125,The way things move: looking under the hood of molecular motor proteins.
1345,1360,What is the mechanism that directs myosin walking?,14,18479805,A possible mechanism for determining the directionality of myosin molecular motors.
1345,1360,What is the mechanism that directs myosin walking?,14,20935627,Video imaging of walking myosin V by high-speed atomic force microscopy.
2157,2160,Did animals evolve from plants?,14,10097391,"Divergence time estimates for the early history of animal phyla and the origin of plants, animals and fungi."
3147,3150,Is the EC50 of an activating protein for an enzyme a good indicator for the binding affinity Kd?,14,12649189,"Theoretical analysis of antibody targeting of tumor spheroids: importance of dosage for penetration, and affinity for retention."
3147,3250,Is the EC50 of an activating protein for an enzyme a good indicator for the binding affinity Kd?,14,16743508,
3147,3250,Is the EC50 of an activating protein for an enzyme a good indicator for the binding affinity Kd?,14,6651770,
3245,3249,Does every mitochondrion in a cell contain the same DNA?,14,16050976,Nuclear and mitochondrial DNA repair: similar pathways?
3427,3431,Difference between genetic engineering and synthetic biology,14,16738572,Synthetic biology: new engineering rules for an emerging discipline.
7046,7048,Why Do Most Humans &amp; Cats Have Blue/Bluish Eyes At Birth?,14,19619260,Genetics of human iris colour and patterns.
7053,7054,"Can you consider a human as alive, or is it the cells on the body that are alive?",14,218751471,
7267,7278,Why doesn&#39;t recombination occur in male Drosophila?,14,12225662,The dynamics of homologous chromosome pairing during male Drosophila meiosis.
8967,8969,Could humans and chimpanzees hybridize?,14,16710306,Genetic evidence for complex speciation of humans and chimpanzees.
10109,11061,Does RNA polymerase move around DNA or does DNA rotate beneath the polymerase?,14,8799830,"Active RNA polymerases are localized within discrete transcription ""factories' in human nuclei."
13746,13760,Do animals suffer from &quot;Human&quot; mental disorders?,14,746371,Animal models of schizophrenia: the case for LSD-25.
19472,19474,How do we know the presence of light when our eyes are closed?,14,8719122,Light attenuation by the human eyelid.
20174,20178,Where does extra blood come from to fill your muscles during exercise?,14,1490222,"Muscle soreness, swelling, stiffness and strength loss after intense eccentric exercise."
20174,20182,Where does extra blood come from to fill your muscles during exercise?,14,961879,Hepatic venous compliance and role of liver as a blood reservoir.
20174,20182,Where does extra blood come from to fill your muscles during exercise?,14,23305001,Blood volume redistribution during hypovolemia.
21461,21495,Why can&#39;t a corn cob have 13 rows of seeds?,14,23377180,Quantitative variation in maize kernel row number is controlled by the FASCIATED EAR2 locus.
24481,24544,"Is our color vision calibrated to sky, vegetation, and blood?",14,10571225,
34331,34370,The Uniqueness of DNA Paradox,14,16179466,"Noise in gene expression: origins, consequences, and control."
35689,35690,Linear and Circular DNA,14,17504473,
35689,35694,Linear and Circular DNA,14,18088310,Extrachromosomal circular DNA derived from tandemly repeated genomic sequences in plants.
35689,35694,Linear and Circular DNA,14,7934868,Linear plasmids and chromosomes in bacteria.
35689,35694,Linear and Circular DNA,14,12904641,
38943,38949,How does a neuron change as you learn?,14,23852978,Parameter estimation of a spiking silicon neuron.
38943,65698,How does a neuron change as you learn?,14,18097401,Locally dynamic synaptic learning rules in pyramidal neuron dendrites.
41299,41499,How does paracetamol work?,14,16413237,
41299,41499,How does paracetamol work?,14,12242329,"COX-3, a cyclooxygenase-1 variant inhibited by acetaminophen and other analgesic/antipyretic drugs: cloning, structure, and expression."
41299,41499,How does paracetamol work?,14,15987694,Conversion of acetaminophen to the bioactive N-acylphenolamine AM404 via fatty acid amide hydrolase-dependent arachidonic acid conjugation in the nervous system.
41299,41499,How does paracetamol work?,14,22542870,Acetaminophen differentially enhances social behavior and cortical cannabinoid levels in inbred mice.
41299,41499,How does paracetamol work?,14,22109525,TRPA1 mediates spinal antinociception induced by acetaminophen and the cannabinoid             Δ(9)-tetrahydrocannabiorcol.
42888,42916,Why is ATP produced in photosynthesis used to synthesize glucose?,14,21622019,Adenine nucleotide transport in plants: much more than a mitochondrial issue.
43673,72307,50:50 sugar/fat mixture,14,18929494,Reassessing triglyceride synthesis in adipose tissue.
43673,72343,50:50 sugar/fat mixture,14,2326345,Hyperphagia in rats produced by a mixture of fat and sugar.
43673,72343,50:50 sugar/fat mixture,14,20029382,A free-choice high-fat high-sugar diet induces changes in arcuate neuropeptide expression that support hyperphagia.
43673,72343,50:50 sugar/fat mixture,14,24744741,Snack food intake in ad libitum fed rats is triggered by the combination of fat and carbohydrates.
43673,72343,50:50 sugar/fat mixture,14,25973686,Fat/carbohydrate ratio but not energy density determines snack food intake and activates brain reward areas.
43673,72343,50:50 sugar/fat mixture,14,25692302,"Which foods may be addictive? The roles of processing, fat content, and glycemic load."
43701,43717,How does the body switch between aerobic and anaerobic respiration?,14,1567375,Kinetic studies of the regulation of mitochondrial malate dehydrogenase by citrate.
43701,43775,How does the body switch between aerobic and anaerobic respiration?,14,20153717,Hypoxia and mitochondrial oxidative metabolism.
43701,43775,How does the body switch between aerobic and anaerobic respiration?,14,17418790,HIF-1 regulates cytochrome oxidase subunits to optimize efficiency of respiration in hypoxic cells.
43701,43775,How does the body switch between aerobic and anaerobic respiration?,14,19782034,Hypoxia-inducible mir-210 regulates normoxic gene expression involved in tumor initiation.
43701,43775,How does the body switch between aerobic and anaerobic respiration?,14,19808020,MicroRNA-210 controls mitochondrial metabolism during hypoxia by repressing the iron-sulfur cluster assembly proteins ISCU1/2.
43701,43775,How does the body switch between aerobic and anaerobic respiration?,14,20885442,miR-210 is overexpressed in late stages of lung cancer and mediates mitochondrial alterations associated with modulation of HIF-1 activity.
43701,43775,How does the body switch between aerobic and anaerobic respiration?,14,20498629,Hypoxia-regulated microRNA-210 modulates mitochondrial function and decreases ISCU and COX10 expression.
43701,43775,How does the body switch between aerobic and anaerobic respiration?,14,11861645,Hypoxia sensitizes cells to nitric oxide-induced apoptosis.
43701,43775,How does the body switch between aerobic and anaerobic respiration?,14,10679484,Hypoxic regulation of inducible nitric oxide synthase via hypoxia inducible factor-1 in cardiac myocytes.
43701,43775,How does the body switch between aerobic and anaerobic respiration?,14,21123733,Hypoxia. 2. Hypoxia regulates cellular metabolism.
43701,43775,How does the body switch between aerobic and anaerobic respiration?,14,16667939,Acetyl-coenzyme a can regulate activity of the mitochondrial pyruvate dehydrogenase complex in situ.
43701,43775,How does the body switch between aerobic and anaerobic respiration?,14,4413336,
43701,43775,How does the body switch between aerobic and anaerobic respiration?,14,4418160,
43701,43775,How does the body switch between aerobic and anaerobic respiration?,14,24280073,The long and winding road to the mitochondrial pyruvate carrier.
48970,49011,How do neurons find each other?,14,23931994,Leucine-rich repeat transmembrane proteins are essential for maintenance of long-term potentiation.
49180,50577,How do we know that our genetic similarities to other species is actually due to common ancestry?,14,19117371,Origin and evolution of the genetic code: the universal enigma.
57521,57524,Why is thymine not incorporated into mRNA?,14,15262972,Discrimination against deoxyribonucleotide substrates by bacterial RNA polymerase.
57521,57524,Why is thymine not incorporated into mRNA?,14,5256413,The mechanism of action of ribonuclease.
58563,58580,Can plants produce oxygen at night (without light)?,14,2669240,"Photosystem II, the water-splitting enzyme."
58563,58580,Can plants produce oxygen at night (without light)?,14,14507720,Evidence for spontaneous structural changes in a dark-adapted state of photosystem II.
59857,59859,"What species is this black, blue and white bird?",14,15591194,The mentality of crows: convergent evolution of intelligence in corvids and apes.
192,197,Are there any pre-Holocene venomous animals?,13,16292255,Early evolution of the venom system in lizards and snakes.
192,197,Are there any pre-Holocene venomous animals?,13,19451641,A central role for venom in predation by Varanus komodoensis (Komodo Dragon) and the extinct giant Varanus (Megalania) priscus.
192,197,Are there any pre-Holocene venomous animals?,13,20080749,The birdlike raptor Sinornithosaurus was venomous.
192,197,Are there any pre-Holocene venomous animals?,13,18464734,Genome analysis of the platypus reveals unique signatures of evolution.
192,197,Are there any pre-Holocene venomous animals?,13,15973406,First evidence of a venom delivery apparatus in extinct mammals.
391,392,How do CpG islands remain unmethylated?,13,21985173,ADP-ribose polymers localized on Ctcf-Parp1-Dnmt1 complex prevent methylation of Ctcf target sites.
391,392,How do CpG islands remain unmethylated?,13,21576262,CpG islands and the regulation of transcription.
391,392,How do CpG islands remain unmethylated?,13,9308966,DNA methylation inhibits elongation but not initiation of transcription in Neurospora crassa.
391,392,How do CpG islands remain unmethylated?,13,15318244,Meiotic catastrophe and retrotransposon reactivation in male germ cells lacking Dnmt3L.
931,1172,How does Golgi&#39;s neural histological stain work?,13,17306375,How the 1906 Nobel Prize in Physiology or Medicine was shared between Golgi and Cajal.
931,1172,How does Golgi&#39;s neural histological stain work?,13,6824927,A new type of specific interneuron in the monkey hippocampus forming synapses exclusively with the axon initial segments of pyramidal cells.
1084,1154,Sequencing the genomes of polyploid organisms,13,10545948,Differential methylation of genes and retrotransposons facilitates shotgun sequencing of the maize genome.
1112,1123,Can DNA produce ribozyme-like structures?,13,9383394,A DNA enzyme that cleaves RNA.
1112,1123,Can DNA produce ribozyme-like structures?,13,18373062,Deoxyribozymes: useful DNA catalysts in vitro and in vivo.
1152,1153,Which is more important for protein expression mRNA structure or codon optimization?,13,16756672,Gene Designer: a synthetic biology tool for constructing artificial DNA segments.
1198,1236,Long-term-potentiation and memory. Where do we stand?,13,10331391,Dendritic spine changes associated with hippocampal long-term synaptic plasticity.
1198,1313,Long-term-potentiation and memory. Where do we stand?,13,12417688,Induction and experience-dependent consolidation of stable long-term potentiation lasting months in the hippocampus.
1448,1457,What is Curved DNA?,13,3905255,Curved DNA.
1754,1848,Can species back-evolve?,13,18177707,
2039,2040,How many agarose gel bands are typical for circularised DNA,13,15958528,DNA knots reveal a chiral organization of DNA in phage capsids.
6966,23524,Why do antidepressants have a delayed onset of action?,13,15309042,The therapeutic role of 5-HT1A and 5-HT2A receptors in depression.
7905,7906,What is the smallest molecule that can present as an antigen to the immune system in the context of allergies?,13,15767020,T cell receptor (TCR) interaction with haptens: metal ions as non-classical haptens.
8611,8638,Why does oxygen bind to hemoglobin in an specific angle?,13,265510,Magnetic properties of oxyhemoglobin.
8611,8638,Why does oxygen bind to hemoglobin in an specific angle?,13,268611,Magnetic properties and structure of oxyhemoglobin.
9730,9735,What is the standard deviation of adult human heights for males and females?,13,21533104,Height of nations: a socioeconomic analysis of cohort differences and patterns among women in 54 low- to middle-income countries.
11237,11306,What does fitness really mean?,13,23270702,A mathematical description of the inclusive fitness theory.
15555,15559,Are viruses self-propelled?,13,17434950,On kinetics of phage adsorption.
16041,24779,Are there specific features of birds that cats/small predators are attracted to?,13,7387584,
16041,24779,Are there specific features of birds that cats/small predators are attracted to?,13,7406973,
16542,36792,"If all B cells are present at birth, why should the primary response to an infection take longer than the secondary response?",13,15963731,Bone marrow microenvironmental changes in aged mice compromise V(D)J recombinase activity and B cell generation.
16542,36792,"If all B cells are present at birth, why should the primary response to an infection take longer than the secondary response?",13,17344004,B cells and aging: balancing the homeostatic equation.
